address,ticketNumber,longitude,latitude
"1100 Main St., Vancouver, BC, Canada",16,-123.0999557,49.2724177
"1900 Pine St., Vancouver, BC, Canada",290,-123.1431974,49.268873
"900 Canada Pl., Vancouver, BC, Canada",1350,-123.1138462,49.28716480000001
"8200 Fraser St., Vancouver, BC, Canada",4,-123.0907364,49.2108116
"300 62nd Ave W., Vancouver, BC, Canada",29,-123.1127127,49.2140535
"1400 Charles St., Vancouver, BC, Canada",5,-123.074933,49.27282229999999
"1700 Graveley St., Vancouver, BC, Canada",218,-123.0696517,49.2705077
"1000 Thurlow St., Vancouver, BC, Canada",302,-123.1280336,49.28250329999999
"2100 Graveley St., Vancouver, BC, Canada",3,-123.0618636,49.2704483
"1400 Semlin Dr., Vancouver, BC, Canada",9,-123.0635975,49.27153879999999
"1100 Garden Dr., Vancouver, BC, Canada",6,-123.0575878,49.2746138
"2300 Quebec St., Vancouver, BC, Canada",110,-123.1029227,49.2637375
"2700 Glen Dr., Vancouver, BC, Canada",8,-123.0812084,49.2603988
"400 Campbell Ave., Vancouver, BC, Canada",41,-123.0837895,49.2801881
"2700 3rd Ave W., Vancouver, BC, Canada",3,-123.1666136,49.2690516
"800 Union St., Vancouver, BC, Canada",11,-123.0871953,49.2772365
"5600 Olympic St., Vancouver, BC, Canada",7,-123.1892925,49.23562219999999
"100 Dunlevy Ave., Vancouver, BC, Canada",54,-123.0952585,49.2840999
"2400 Kamloops St., Vancouver, BC, Canada",12,-123.0547006,49.2629423
"4200 John St., Vancouver, BC, Canada",2,-123.0972558,49.2475508
"300 Hawks Ave., Vancouver, BC, Canada",83,-123.0868314,49.2819063
"4400 John St., Vancouver, BC, Canada",5,-123.0972263,49.245861
"2500 Dunbar St., Vancouver, BC, Canada",30,-123.1836067,49.2639691
"4700 Moss St., Vancouver, BC, Canada",4,-123.0426014,49.2425559
"700 70th Ave W., Vancouver, BC, Canada",7,-123.1212779,49.2082655
"2800 23rd Ave E., Vancouver, BC, Canada",2,-123.0468336,49.2495814
"1500 Renfrew St., Vancouver, BC, Canada",8,-123.044018,49.2706491
"2100 3rd Ave E., Vancouver, BC, Canada",9,-123.1531866,49.2687567
"800 Georgia St. E., Vancouver, BC, Canada",73,-123.0877294,49.2781824
"1900 Pendrell St., Vancouver, BC, Canada",91,-123.1423326,49.2890344
"2100 Quebec St., Vancouver, BC, Canada",110,-123.1027941,49.2664262
"500 Railway St., Vancouver, BC, Canada",60,-123.0928516,49.28496149999999
"3200 Main St., Vancouver, BC, Canada",148,-123.100952,49.25652969999999
"3500 34th Ave W., Vancouver, BC, Canada",12,-123.1819787,49.2414452
"500 Davie St., Vancouver, BC, Canada",89,-123.1242288,49.2758822
"4300 Ontario St., Vancouver, BC, Canada",17,-123.1047888,49.2472753
"2000 6th Ave W., Vancouver, BC, Canada",61,-123.1504121,49.2663798
"200 Georgia St. W., Vancouver, BC, Canada",16,-123.1142106,49.2798949
"1800 Kingsway, Vancouver, BC, Canada",28,-123.0676882,49.2460951
"600 Georgia St. W., Vancouver, BC, Canada",32,-123.1173078,49.2819458
"700 24th Ave E., Vancouver, BC, Canada",28,-123.0903436,49.2492041
"100 Powell St., Vancouver, BC, Canada",855,-123.1018839,49.2831272
"900 Windermere St., Vancouver, BC, Canada",17,-123.0363279,49.2763961
"1900 Kamloops St., Vancouver, BC, Canada",2,-123.054699,49.2675796
"2100 Waterloo St., Vancouver, BC, Canada",5,-123.1797309,49.2678399
"2400 28th Ave E., Vancouver, BC, Canada",3,-123.0566459,49.2454543
"1600 Quebec St., Vancouver, BC, Canada",19,-123.1016096,49.2716445
"400 Hastings St. W., Vancouver, BC, Canada",98,-123.1109657,49.2831488
"5300 Culloden St., Vancouver, BC, Canada",5,-123.0782592,49.2368304
"1900 4th Ave W., Vancouver, BC, Canada",1978,-123.1481029,49.2678777
"0 15th Ave W., Vancouver, BC, Canada",43,-123.1741926,49.2587576
"800 King Edward Ave. W., Vancouver, BC, Canada",5,-123.122328,49.24904100000001
"200 19th Ave W., Vancouver, BC, Canada",2,-123.1096121,49.2536171
"1400 McLean Dr., Vancouver, BC, Canada",13,-123.0741942,49.2720687
"1200 Garden Dr., Vancouver, BC, Canada",3,-123.0576513,49.2739428
"900 Semlin Dr., Vancouver, BC, Canada",2,-123.0636785,49.2766516
"1000 Wolfe Ave., Vancouver, BC, Canada",23,-123.1279284,49.2523972
"8900 Hudson St., Vancouver, BC, Canada",11,-123.134759,49.204303
"2100 Grant St., Vancouver, BC, Canada",5,-123.0616611,49.271058
"0 Peveril Ave., Vancouver, BC, Canada",13,-123.1075652,49.2463227
"3500 Charles St., Vancouver, BC, Canada",1,-123.0306958,49.2730727
"1600 Bayshore Dr., Vancouver, BC, Canada",215,-123.1295711,49.29159
"2400 1st Ave W., Vancouver, BC, Canada",22,-123.0568757,49.2692512
"1400 8th Ave W., Vancouver, BC, Canada",631,-123.1361332,49.26447
"1600 Adanac St., Vancouver, BC, Canada",29,-123.0725378,49.2773897
"8300 Jellicoe St., Vancouver, BC, Canada",1,-123.0477198,49.2073229
"300 Water St., Vancouver, BC, Canada",379,-123.1090542,49.2841708
"0 Broadway St. W., Vancouver, BC, Canada",344,-123.14866,49.26376459999999
"1900 10th Ave W., Vancouver, BC, Canada",166,-123.1483695,49.2623356
"8200 Granville St., Vancouver, BC, Canada",11,-123.1401615,49.2115534
"2200 Clark Dr., Vancouver, BC, Canada",6,-123.0774825,49.2652037
"2400 12th Ave W., Vancouver, BC, Canada",5,-123.1603176,49.2609807
"0 Broadway St. E., Vancouver, BC, Canada",212,-123.14866,49.26376459999999
"100 Clark Dr., Vancouver, BC, Canada",7,-123.0774039,49.2669519
"2900 6th Ave E., Vancouver, BC, Canada",5,-123.0442714,49.264768
"1200 Davie St., Vancouver, BC, Canada",659,-123.1335956,49.2817511
"1100 Davie St., Vancouver, BC, Canada",851,-123.1314726,49.2804294
"2300 Trimble St., Vancouver, BC, Canada",2,-123.2056254,49.2660773
"6500 Quebec St., Vancouver, BC, Canada",23,-123.103797,49.22568460000001
"1800 22nd Ave E., Vancouver, BC, Canada",12,-123.0678669,49.2503014
"100 Keefer St., Vancouver, BC, Canada",738,-123.1019683,49.2792063
"2500 Trafalgar St., Vancouver, BC, Canada",122,-123.1646498,49.26402940000001
"200 Georgia St. E., Vancouver, BC, Canada",758,-123.1142106,49.2798949
"2500 Broadway St. W., Vancouver, BC, Canada",447,-123.1625299,49.26379290000001
"1900 12th Ave W., Vancouver, BC, Canada",8,-123.1484589,49.2607886
"1400 Victoria Dr., Vancouver, BC, Canada",2,-123.0655858,49.2719992
"800 Heatley Ave., Vancouver, BC, Canada",15,-123.0896787,49.27750229999999
"3600 Franklin St., Vancouver, BC, Canada",46,-123.0257015,49.2820489
"2900 Glen Dr., Vancouver, BC, Canada",9,-123.0812122,49.2586401
"900 Beatty St., Vancouver, BC, Canada",330,-123.1142669,49.2773146
"2500 Macdonald St., Vancouver, BC, Canada",1,-123.1679952,49.2643261
"800 31st Ave E., Vancouver, BC, Canada",4,-123.0879039,49.2425314
"300 Drake St., Vancouver, BC, Canada",233,-123.1235949,49.2733954
"2300 Heather St., Vancouver, BC, Canada",77,-123.1198172,49.2649135
"100 Nanaimo St. N., Vancouver, BC, Canada",2,-123.0565577,49.2859121
"1800 16th Ave E., Vancouver, BC, Canada",11,-123.0678628,49.2562895
"2000 37th Ave W., Vancouver, BC, Canada",12,-123.1516266,49.23788039999999
"3300 23rd Ave E., Vancouver, BC, Canada",14,-123.1780858,49.2518402
"3800 Knight St., Vancouver, BC, Canada",3,-123.0759756,49.2510012
"4900 Ross St., Vancouver, BC, Canada",1,-123.0815379,49.2406957
"1600 William St., Vancouver, BC, Canada",103,-123.0733203,49.2739856
"1300 51st Ave E., Vancouver, BC, Canada",86,-123.0800144,49.2234287
"3600 Manitoba St., Vancouver, BC, Canada",4,-123.1071103,49.25217910000001
"5200 Ross St., Vancouver, BC, Canada",5,-123.0821716,49.2377496
"200 Station St., Vancouver, BC, Canada",60,-123.0984963,49.2752748
"3200 Turner St., Vancouver, BC, Canada",4,-123.0362115,49.27907
"800 Victoria Dr., Vancouver, BC, Canada",14,-123.0653352,49.2775867
"1600 75th Ave W., Vancouver, BC, Canada",7,-123.1446435,49.2052637
"2200 Fir St., Vancouver, BC, Canada",108,-123.1407449,49.2663664
"4100 Heather St., Vancouver, BC, Canada",1,-123.1201951,49.24890509999999
"1500 Hornby St., Vancouver, BC, Canada",143,-123.1328279,49.2750288
"1300 Thurlow St., Vancouver, BC, Canada",20,-123.132255,49.2796842
"3300 3rd Ave W., Vancouver, BC, Canada",8,-123.1776666,49.2693987
"2800 Turner St., Vancouver, BC, Canada",9,-123.0464861,49.2792334
"1800 Haro St., Vancouver, BC, Canada",138,-123.1365051,49.29078370000001
"800 Nelson St., Vancouver, BC, Canada",402,-123.1245924,49.2798846
"1500 Balsam St., Vancouver, BC, Canada",25,-123.1597132,49.272667
"6100 Bruce St., Vancouver, BC, Canada",6,-123.0693994,49.2286371
"2000 Arbutus St., Vancouver, BC, Canada",11,-123.1527928,49.26796
"1200 Seymour St., Vancouver, BC, Canada",709,-123.1251291,49.2763672
"900 6th Ave W., Vancouver, BC, Canada",4,-123.1241735,49.2657922
"7200 Victoria Dr., Vancouver, BC, Canada",2,-123.0656793,49.2188775
"700 27th Ave E., Vancouver, BC, Canada",24,-123.0896925,49.2464856
"1000 64th Ave E., Vancouver, BC, Canada",8,-123.0858073,49.2119873
"4300 Willow St., Vancouver, BC, Canada",110,-123.1223798,49.2473925
"2800 Guelph St., Vancouver, BC, Canada",10,-123.0947266,49.2593915
"1100 Georgia St. W., Vancouver, BC, Canada",1422,-123.1221322,49.28517249999999
"5000 Cambie St., Vancouver, BC, Canada",2,-123.1171375,49.24000059999999
"3400 Laurel St., Vancouver, BC, Canada",8,-123.1244485,49.2552871
"2800 4th Ave W., Vancouver, BC, Canada",47,-123.1683159,49.26837099999999
"2500 31st Ave W., Vancouver, BC, Canada",2,-123.1631614,49.2439526
"3200 Grant St., Vancouver, BC, Canada",9,-123.0363045,49.2713475
"1800 Quebec St., Vancouver, BC, Canada",76,-123.1026982,49.2691552
"900 14th Ave W., Vancouver, BC, Canada",171,-123.1242468,49.2586862
"2100 48th Ave E., Vancouver, BC, Canada",3,-123.0637201,49.2260573
"600 Expo Boulevard, Vancouver, BC, Canada",277,-123.1076545,49.2786279
"2400 37th Ave W., Vancouver, BC, Canada",1,-123.1611931,49.2383838
"1600 6th Ave E., Vancouver, BC, Canada",115,-123.0715827,49.2648123
"1900 42nd Ave W., Vancouver, BC, Canada",10,-123.1496543,49.23328739999999
"2100 46th Ave W., Vancouver, BC, Canada",11,-123.1551894,49.2298634
"400 Hawks Ave., Vancouver, BC, Canada",118,-123.0871327,49.2811332
"2700 Cambridge St., Vancouver, BC, Canada",4,-123.0493257,49.2867235
"1500 Adanac St., Vancouver, BC, Canada",41,-123.0741872,49.2776119
"2200 5th Ave W., Vancouver, BC, Canada",121,-123.1554293,49.2672029
"2600 Kitchener St., Vancouver, BC, Canada",6,-123.0520548,49.2722927
"1900 35th Ave W., Vancouver, BC, Canada",6,-123.1566729,49.24003339999999
"2300 Semlin Dr., Vancouver, BC, Canada",12,-123.0639232,49.26446379999999
"3500 Gladstone St., Vancouver, BC, Canada",4,-123.0592151,49.2519595
"300 17th Ave E., Vancouver, BC, Canada",15,-123.0984567,49.25566569999999
"700 13th Ave W., Vancouver, BC, Canada",52,-123.1197729,49.2593616
"400 Pacific Blvd., Vancouver, BC, Canada",16,-123.108312,49.27701829999999
"3600 25th Ave E., Vancouver, BC, Canada",6,-123.0262491,49.2479026
"1000 Island Ave., Vancouver, BC, Canada",3,-123.0710418,49.2097309
"5800 Victoria Dr., Vancouver, BC, Canada",66,-123.0652824,49.2311942
"1500 4th Ave W., Vancouver, BC, Canada",5,-123.1387676,49.2679598
"2800 37th Ave W., Vancouver, BC, Canada",4,-123.1680844,49.2385149
"5300 Dunbar St., Vancouver, BC, Canada",1,-123.1850068,49.238699
"200 18th Ave W., Vancouver, BC, Canada",6,-123.1097315,49.2547411
"400 Princess Ave., Vancouver, BC, Canada",73,-123.0914999,49.2811999
"400 Abbott St., Vancouver, BC, Canada",405,-123.1072,49.282003
"2100 Alberta St., Vancouver, BC, Canada",67,-123.1105711,49.2665421
"100 43rd Ave W., Vancouver, BC, Canada",1,-123.1164515,49.2316665
"500 19th Ave W., Vancouver, BC, Canada",107,-123.0938778,49.2537847
"3200 Fleming St., Vancouver, BC, Canada",11,-123.0705926,49.25596669999999
"300 2nd Ave W., Vancouver, BC, Canada",88,-123.1114431,49.2683171
"5200 Dunbar St., Vancouver, BC, Canada",2,-123.185292,49.23950199999999
"1100 29th Ave W., Vancouver, BC, Canada",3,-123.1392213,49.24545699999999
"5700 Lancaster St., Vancouver, BC, Canada",17,-123.0417121,49.2329251
"4700 Commercial St., Vancouver, BC, Canada",7,-123.0680154,49.2429407
"1600 Davie St., Vancouver, BC, Canada",438,-123.1386483,49.2852343
"2400 Dunbar St., Vancouver, BC, Canada",64,-123.1837423,49.26476659999999
"6800 Main St., Vancouver, BC, Canada",7,-123.101172,49.22294369999999
"1000 McLean Dr., Vancouver, BC, Canada",26,-123.0744292,49.27550069999999
"2800 Hemlock St., Vancouver, BC, Canada",72,-123.1361991,49.2608282
"6300 Maple St., Vancouver, BC, Canada",6,-123.1508776,49.253252
"2000 Harrison Dr., Vancouver, BC, Canada",4,-123.0660779,49.2106356
"2100 Cornwall Ave., Vancouver, BC, Canada",267,-123.1526112,49.272547
"7800 Vernon Dr., Vancouver, BC, Canada",1,-123.078658,49.27497
"4200 Miller St., Vancouver, BC, Canada",6,-123.0683039,49.24742269999999
"5400 Elizabeth St., Vancouver, BC, Canada",2,-123.1116105,49.2369768
"3400 Sophia St., Vancouver, BC, Canada",10,-123.0984925,49.2547637
"5400 Cecil St., Vancouver, BC, Canada",332,-123.0357401,49.2354182
"700 Davie St., Vancouver, BC, Canada",88,-123.1264398,49.2771689
"3000 St. Catherines St., Vancouver, BC, Canada",8,-123.0850893,49.2577371
"3500 Yukon St., Vancouver, BC, Canada",37,-123.1126195,49.2539083
"2100 40th Ave W., Vancouver, BC, Canada",504,-123.1559041,49.235437
"200 Salsbury Dr., Vancouver, BC, Canada",17,-123.0682632,49.2815979
"0 Taylor St., Vancouver, BC, Canada",1,-123.1058788,49.2801246
"1600 Haro St., Vancouver, BC, Canada",72,-123.1334559,49.2887592
"8300 Beatrice St., Vancouver, BC, Canada",13,-123.0675269,49.2094108
"2800 Pandora St., Vancouver, BC, Canada",65,-123.0466879,49.28297509999999
"4900 Slocan St., Vancouver, BC, Canada",20,-123.0536535,49.2403977
"2500 Windsor St., Vancouver, BC, Canada",23,-123.0831597,49.26128629999999
"1500 Haro St., Vancouver, BC, Canada",85,-123.1327618,49.2880292
"2000 33rd Ave W., Vancouver, BC, Canada",14,-123.1517798,49.2418839
"4200 Willow St., Vancouver, BC, Canada",126,-123.1223798,49.2473925
"900 19th Ave E., Vancouver, BC, Canada",39,-123.0854018,49.25351269999999
"3400 Lougheed Hwy., Vancouver, BC, Canada",22,-123.0305437,49.2617838
"500 Cordova St. E., Vancouver, BC, Canada",77,-123.093273,49.2820061
"100 14th Ave E., Vancouver, BC, Canada",138,-123.1073108,49.2583238
"2400 18th Ave E., Vancouver, BC, Canada",1,-123.0582425,49.2533514
"2100 Qualicum Dr., Vancouver, BC, Canada",10,-123.0641651,49.2124075
"1200 Cotton Dr., Vancouver, BC, Canada",17,-123.0714521,49.2739201
"1200 Haro St., Vancouver, BC, Canada",144,-123.128095,49.28534459999999
"2600 Alma St., Vancouver, BC, Canada",28,-123.1853695,49.2637236
"2600 Alder St., Vancouver, BC, Canada",38,-123.1313949,49.2624099
"100 63rd Ave E., Vancouver, BC, Canada",12,-123.1043604,49.21313259999999
"7600 Inverness St., Vancouver, BC, Canada",2,-123.0799127,49.2155882
"1600 Larch St., Vancouver, BC, Canada",15,-123.162124,49.2717093
"4000 Prince Edward St., Vancouver, BC, Canada",2,-123.0967505,49.2493721
"2800 Laurel St., Vancouver, BC, Canada",99,-123.1253331,49.2624258
"3900 Cambie St., Vancouver, BC, Canada",6,-123.1149701,49.2503508
"1900 7th Ave E., Vancouver, BC, Canada",33,-123.06578,49.2639156
"3100 Glen Dr., Vancouver, BC, Canada",4,-123.0814395,49.256583
"800 Cambie St., Vancouver, BC, Canada",675,-123.1175264,49.2111051
"7000 St. George St., Vancouver, BC, Canada",4,-123.0948351,49.21959469999999
"1800 Trutch St., Vancouver, BC, Canada",5,-123.1756702,49.270255
"2000 48th Ave W., Vancouver, BC, Canada",9,-123.1165968,49.2270244
"1500 King Edward Ave. W., Vancouver, BC, Canada",2,-123.1402856,49.2491344
"300 29th Ave E., Vancouver, BC, Canada",5,-123.0405753,49.2445379
"4800 Dumfries St., Vancouver, BC, Canada",10,-123.0736072,49.24151819999999
"1900 Balsam St., Vancouver, BC, Canada",174,-123.1598686,49.26914300000001
"1300 8th Ave W., Vancouver, BC, Canada",223,-123.1338196,49.26425529999999
"5100 Victoria Dr., Vancouver, BC, Canada",31,-123.0651467,49.2380963
"2600 22nd Ave E., Vancouver, BC, Canada",15,-123.0521148,49.250402
"2500 Burrard St., Vancouver, BC, Canada",11,-123.1457383,49.2640854
"700 6th Ave E., Vancouver, BC, Canada",13,-123.0887735,49.2650167
"5900 Toderick St., Vancouver, BC, Canada",7,-123.0288799,49.2302381
"1900 34th Ave E., Vancouver, BC, Canada",30,-123.0670238,49.2390486
"2600 Kingsway, Vancouver, BC, Canada",89,-123.0519287,49.238948
"1900 33rd Ave E., Vancouver, BC, Canada",4,-123.0669436,49.23988749999999
"7200 Ontario St., Vancouver, BC, Canada",7,-123.1058133,49.21934539999999
"400 2nd Ave W., Vancouver, BC, Canada",108,-123.1130225,49.2674827
"2000 Cypress St, Vancouver, BC, Canada",21,-123.147973,49.268068
"1500 Maple St., Vancouver, BC, Canada",23,-123.1502167,49.2722193
"1100 Howe St., Vancouver, BC, Canada",489,-123.1256759,49.2787993
"6000 Victoria Dr., Vancouver, BC, Canada",13,-123.0656111,49.2294567
"3700 Inverness St., Vancouver, BC, Canada",16,-123.0798809,49.2520311
"500 25th Ave W., Vancouver, BC, Canada",6,-123.1824053,49.3346083
"100 Columbia St., Vancouver, BC, Canada",153,-123.1017916,49.2835083
"500 Carrall St., Vancouver, BC, Canada",52,-123.1041761,49.2807168
"1000 Expo Boulevard, Vancouver, BC, Canada",109,-123.1159185,49.2749184
"7100 Main St., Vancouver, BC, Canada",1,-123.101491,49.2200988
"3400 4th Ave E., Vancouver, BC, Canada",1,-123.1794023,49.2680991
"4300 Locarno Cr., Vancouver, BC, Canada",4,-123.2026585,49.2689313
"0 43rd Ave W., Vancouver, BC, Canada",4,-123.1164515,49.2316665
"600 51st Ave E., Vancouver, BC, Canada",18,-123.092525,49.2233716
"3400 Euclid Ave., Vancouver, BC, Canada",30,-123.0336615,49.2364648
"3100 MacKenzie St., Vancouver, BC, Canada",1,-123.1703409,49.2587438
"900 12th Ave W., Vancouver, BC, Canada",22,-123.1249913,49.2603089
"1100 Nootka St., Vancouver, BC, Canada",3,-123.0410904,49.2747253
"1300 Continental St., Vancouver, BC, Canada",47,-123.1287433,49.2761639
"700 33rd Ave E., Vancouver, BC, Canada",34,-123.0889789,49.2401057
"1400 Carolina St., Vancouver, BC, Canada",10,-123.0909787,49.26573699999999
"1800 Macdonald St., Vancouver, BC, Canada",25,-123.1679872,49.2699654
"2900 4th Ave W., Vancouver, BC, Canada",52,-123.1701154,49.2683708
"3700 Hudson St., Vancouver, BC, Canada",2,-123.1342341,49.2527895
"4500 12th Ave W., Vancouver, BC, Canada",13,-123.2092072,49.261999
"7700 Argyle St., Vancouver, BC, Canada",1,-123.0720081,49.2145859
"1900 Creelman Ave., Vancouver, BC, Canada",121,-123.1480907,49.2743124
"3600 Fraser St., Vancouver, BC, Canada",6,-123.0896639,49.2529069
"7800 Columbia St., Vancouver, BC, Canada",10,-123.1127028,49.2142805
"6900 Quebec St., Vancouver, BC, Canada",7,-123.1039304,49.2219986
"2400 Penticton St., Vancouver, BC, Canada",5,-123.0521666,49.2629792
"3300 6th Ave W., Vancouver, BC, Canada",6,-123.1779349,49.2665599
"3200 Prince Edward St., Vancouver, BC, Canada",13,-123.0963534,49.256659
"400 Seymour St., Vancouver, BC, Canada",305,-123.1134311,49.2841102
"600 23rd Ave W., Vancouver, BC, Canada",4,-123.1181542,49.2504554
"8000 Granville St., Vancouver, BC, Canada",57,-123.1401304,49.2130193
"3700 Pt. Grey Rd., Vancouver, BC, Canada",77,-123.1854463,49.2721915
"2000 10th Ave W., Vancouver, BC, Canada",110,-123.1504668,49.2623562
"1300 McLean Dr., Vancouver, BC, Canada",11,-123.0743345,49.272726
"400 Powell St., Vancouver, BC, Canada",176,-123.094347,49.28264
"3000 17th Ave E., Vancouver, BC, Canada",8,-123.0413961,49.25455789999999
"1600 Franklin St., Vancouver, BC, Canada",98,-123.0723202,49.2820197
